Artist,Album,Title,time
Eminem,Recovery,Cinderella Man,07 Mar 2018 23:51
Eminem,Curtain Call,Sing for the Moment,07 Mar 2018 23:46
Eminem,Revival,Nowhere Fast (feat. Kehlani),07 Mar 2018 23:41
Eminem,Recovery,Untitled,07 Mar 2018 23:01
Act of Rage,Sabotage,Let The Games Begin,07 Mar 2018 22:56
Frequencerz,Renegades,Renegades,07 Mar 2018 22:53
Rejecta,Followed,Followed,07 Mar 2018 22:50
Rejecta,Followed,Followed,07 Mar 2018 22:46
Rejecta,Followed,Followed,07 Mar 2018 22:43
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Don't Let Me Fall,07 Mar 2018 21:46
Ed Sheeran,Perfect Symphony (Ed Sheeran & Andrea Bocelli),Perfect Symphony (Ed Sheeran & Andrea Bocelli),07 Mar 2018 21:42
Dante Klein,Coke & Hennessy,Coke & Hennessy,07 Mar 2018 21:38
Kodak Black,Project Baby 2,Roll in Peace (feat. XXXTENTACION),07 Mar 2018 21:35
Lil Skies,Nowadays (feat. Landon Cube),Nowadays (feat. Landon Cube),07 Mar 2018 21:32
Lil Skies,Red Roses (feat. Landon Cube),Red Roses (Feat. Landon Cube),07 Mar 2018 21:28
Aries,Carousel,Carousel,07 Mar 2018 21:25
Nue,Nightfall,Nightfall,07 Mar 2018 21:21
Kodak Black,Project Baby 2,Roll in Peace (feat. XXXTENTACION),07 Mar 2018 21:18
Deadly Guns,The Gunshow,Power Of Truth,07 Mar 2018 21:13
D-Block & S-te-Fan,Angels & Demons,Angels & Demons,07 Mar 2018 17:25
Killshot,Beastmode,Beastmode - Radio Edit,07 Mar 2018 17:21
Ran-D,Slam! Hardstyle vol. 16,Zombie - Radio Edit,07 Mar 2018 17:17
Ran-D,Firestarter,Firestarter - Radio Edit,07 Mar 2018 17:12
Noisecontrollers,Hardstyle The Ultimate Collection Best Of 2017,The Spirit of Hardstyle - Radio Edit,07 Mar 2018 17:07
Rejecta,Followed,Followed,07 Mar 2018 17:01
Project One,EP I,Luminosity,07 Mar 2018 16:57
Psyko Punkz,Hardstyle Top 100 - Best Of 2017,Play The Drum - Radio Edit,07 Mar 2018 16:52
Cyber,Union,Union - Radio Version,07 Mar 2018 16:49
Requiem,Take The Hit,Take The Hit - Original Edit,07 Mar 2018 16:47
Headhunterz,Hardstyle Top 100 - Best Of 2017,Destiny - Edit,07 Mar 2018 16:45
Nue,Nightfall,Nightfall,07 Mar 2018 16:25
Lil Skies,Nowadays (feat. Landon Cube),Nowadays (feat. Landon Cube),07 Mar 2018 16:22
Lil Skies,Red Roses (feat. Landon Cube),Red Roses (Feat. Landon Cube),07 Mar 2018 16:17
Kodak Black,Project Baby 2,Roll in Peace (feat. XXXTENTACION),07 Mar 2018 16:14
Aries,Carousel,Carousel,07 Mar 2018 16:11
Nue,Nightfall,Nightfall,07 Mar 2018 16:08
Lil Skies,Nowadays (feat. Landon Cube),Nowadays (feat. Landon Cube),07 Mar 2018 16:04
Lil Skies,Red Roses (feat. Landon Cube),Red Roses (Feat. Landon Cube),07 Mar 2018 16:00
Kodak Black,Project Baby 2,Roll in Peace (feat. XXXTENTACION),07 Mar 2018 15:57
Tatanka,Afrika E.P.,Afrika - Original Mix,07 Mar 2018 15:52
Gunz For Hire,Qlimax 2016 Rise Of The Celestials,No Mercy - Radio Edit,07 Mar 2018 15:48
Project One,EP I,Luminosity,07 Mar 2018 15:45
TheFatRat,The Calling (Da Tweekaz Remix),The Calling (Da Tweekaz Remix),07 Mar 2018 15:41
Noisecontrollers,Hardstyle The Ultimate Collection Best Of 2017,The Spirit of Hardstyle - Radio Edit,07 Mar 2018 14:15
Chemical Soldiers,FearTheGear Podcast 002,Cosmos,07 Mar 2018 14:12
Killshot,Beastmode,Beastmode - Radio Edit,07 Mar 2018 14:09
Act of Rage,Sabotage,Let The Games Begin,07 Mar 2018 14:05
Healy,Unwind,Unwind,07 Mar 2018 13:43
happytree,In Due Time,S.O.S.,07 Mar 2018 13:40
Kelechi,Don't Fuck It Up,Don't Fuck It Up,07 Mar 2018 13:36
Guordan Banks,Wanna Be Yours,Wanna Be Yours,07 Mar 2018 13:32
Eli Sostre,Cribbo,Cribbo,07 Mar 2018 13:06
Norman Perry,Alive - Single,Alive,07 Mar 2018 13:04
Elton,Callin',Callin',07 Mar 2018 12:59
Ajani Jones,Cocoons,Pyramids,07 Mar 2018 12:56
Myke Bogan,Pool Party,Far Away,07 Mar 2018 12:53
Aries,Carousel,Carousel,07 Mar 2018 12:41
Nue,Nightfall,Nightfall,07 Mar 2018 12:38
On The Fence,Better Than Nothing EP,For Life feat. Burgundy Son,07 Mar 2018 12:35
Eli Sostre,Sleep Is for the Weak,Nobody Else,07 Mar 2018 12:32
Zilo,Keep Up Wimmi,Keep Up Wimmi,07 Mar 2018 12:27
Tory Lanez,MEMORIES DON'T DIE,4 Me,07 Mar 2018 12:24
Riz La Vie,Napkins,Napkins,07 Mar 2018 10:32
ImJaeHall,Nights,Nights,07 Mar 2018 10:28
Joshua J,Lock My Door,Lock My Door,07 Mar 2018 10:24
Nue,Nightfall,Nightfall,07 Mar 2018 10:21
Serious Klein,Boy Boy,Boy Boy,07 Mar 2018 10:18
Myke Bogan,Pool Party,Far Away,07 Mar 2018 10:14
S.L.M.N,Too Much Time (feat. Luu Breeze & Emerson Brooks),Too Much Time (feat. Luu Breeze & Emerson Brooks),07 Mar 2018 10:11
Tobi,January December,January December,07 Mar 2018 10:08
Dougie F,Yellow Durag,Up Dwn,07 Mar 2018 10:05
Lil Skies,Nowadays (feat. Landon Cube),Nowadays (feat. Landon Cube),07 Mar 2018 10:02
DaniLeigh,Summer With Friends,Play,07 Mar 2018 09:49
Nick Brewer,Warning Light,Fall From Here - Jarreau Vandal Remix,07 Mar 2018 07:41
Radical Redemption,Brutal 6.0,Brutal 6.0 - Radio Edit,07 Mar 2018 07:39
B-Freqz,Medium Rare,In The Club,07 Mar 2018 07:35
KELTEK,Hardstyle Top 100 - 2017,Down To Earth - Radio Edit,07 Mar 2018 07:31
Bass Modulators,Imagine,Imagine,07 Mar 2018 07:27
Act of Rage,Sabotage,Let The Games Begin,07 Mar 2018 07:23
Phuture Noize,Pursuit of Thunder,King Of The Jungle,07 Mar 2018 07:19
Minus Militia,Gas D'r Op (Militant Edit),Gas D'r Op - Militant Edit,07 Mar 2018 07:17
Tatanka,Afrika E.P.,Afrika - Original Mix,07 Mar 2018 07:11
Phuture Noize,Hardstyle The Ultimate Collection Best Of 2017,Fire - Radio Edit,07 Mar 2018 07:08
Gunz For Hire,Qlimax 2016 Rise Of The Celestials,No Mercy - Radio Edit,07 Mar 2018 07:04
Physika,The Huntsman,The Huntsman,07 Mar 2018 06:59
Scarphase,Phase One,Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit,07 Mar 2018 06:57
Gunz For Hire,Welcome To Death Row,Welcome To Death Row,07 Mar 2018 06:52
Coone,Young Gifted & Proud (The Qontinent Anthem 2017),Young Gifted & Proud (The Qontinent Anthem 2017),07 Mar 2018 06:48
TheFatRat,The Calling (Da Tweekaz Remix),The Calling (Da Tweekaz Remix),07 Mar 2018 06:44
War Force,Face The Force,Devastation,07 Mar 2018 06:41
Malice,FearTheGear Podcast 003,N.S.G,07 Mar 2018 06:38
E-Force,The Edge Of Insanity,Cut Your Lungs Out,07 Mar 2018 06:34
Wave Pressure,The Ritual,The Ritual,07 Mar 2018 06:31
Concept Art,Adventurous,Adventurous,07 Mar 2018 06:28
KELTEK,Mask On My Face,Mask On My Face,07 Mar 2018 06:25
Coone,Into The Madness,Into The Madness - Radio Edit,07 Mar 2018 06:20
Phuture Noize,Pursuit of Thunder,Human Machinery,07 Mar 2018 06:17
Eminem,Curtain Call,The Real Slim Shady,07 Mar 2018 06:12
Eminem,The Marshall Mathers LP2 (Deluxe),Headlights,07 Mar 2018 05:48
Eminem,Revival,Bad Husband (feat. X Ambassadors),07 Mar 2018 05:43
Eminem,Curtain Call,Like Toy Soldiers,07 Mar 2018 05:38
Eminem,Revival,Like Home (feat. Alicia Keys),07 Mar 2018 05:34
Eminem,Recovery,No Love,07 Mar 2018 05:29
Eminem,The Marshall Mathers LP2 (Deluxe),Beautiful Pain,07 Mar 2018 05:25
Eminem,The Marshall Mathers LP2 (Deluxe),So Much Better,07 Mar 2018 05:20
Eminem,Revival,Tragic Endings (feat. Skylar Grey),07 Mar 2018 00:14
Eminem,Curtain Call,When I'm Gone,07 Mar 2018 00:09
Eminem,The Marshall Mathers LP2 (Deluxe),Legacy,07 Mar 2018 00:04
Eminem,Curtain Call,Lose Yourself - Soundtrack Version,06 Mar 2018 23:59
Eminem,The Eminem Show (Explicit Version),White America,06 Mar 2018 23:54
Eminem,Recovery,Going Through Changes,06 Mar 2018 23:49
Radical Redemption,The Road To Redemption (Radio Edits),America - Radio Edit,06 Mar 2018 23:31
Killshot,Beastmode,Beastmode - Radio Edit,06 Mar 2018 23:28
Ran-D,Firestarter,Firestarter - Radio Edit,06 Mar 2018 23:23
Ran-D,Slam! Hardstyle vol. 16,Zombie - Radio Edit,06 Mar 2018 23:20
D.R.S.,Party & Bullshit EP,Overdose - Original Mix,06 Mar 2018 23:14
Physika,The Huntsman,The Huntsman,06 Mar 2018 23:09
Phuture Noize,Pursuit of Thunder,King Of The Jungle,06 Mar 2018 23:05
Minus Militia,Gas D'r Op (Militant Edit),Gas D'r Op - Militant Edit,06 Mar 2018 23:03
Headhunterz,Hardstyle Top 100 - Best Of 2017,Destiny - Edit,06 Mar 2018 23:00
Gunz For Hire,Hardstyle The Ultimate Collection Best Of 2017,Armed & Dangerous - Radio Edit,06 Mar 2018 22:56
Gunz For Hire,Executioner Style,Executioner Style - Radio Edit,06 Mar 2018 22:52
Coone,Young Gifted & Proud (The Qontinent Anthem 2017),Young Gifted & Proud (The Qontinent Anthem 2017),06 Mar 2018 22:48
Psyko Punkz,Qlimax 2016 Rise Of The Celestials,Spaceship - Radio Edit,06 Mar 2018 22:45
De Doelleazen,De Hiele Tent Giet Nei De Bliksum,De Hiele Tent Giet Nei De Bliksum,06 Mar 2018 22:42
Psyko Punkz,Hardstyle Top 100 - Best Of 2017,Play The Drum - Radio Edit,06 Mar 2018 22:39
Scarphase,Phase One,Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit,06 Mar 2018 22:37
Ransom,Pussy Lounge 2016,Fistpumpin' - Edit,06 Mar 2018 22:34
Subsonic,M.F. Psycho,M.F. Psycho - Edit,06 Mar 2018 22:31
Refuzion,Without You,Without You - Radio Version,06 Mar 2018 22:28
Cyber,Union,Union - Radio Version,06 Mar 2018 22:26
Phuture Noize,Hardstyle The Ultimate Collection Best Of 2017,Fire - Radio Edit,06 Mar 2018 22:23
Eminem,Curtain Call,Cleanin' Out My Closet,06 Mar 2018 22:17
Eminem,The Eminem Show (Explicit Version),White America,06 Mar 2018 22:12
Eminem,Revival,Nowhere Fast (feat. Kehlani),06 Mar 2018 22:08
Da Tweekaz,The Qontinent 2013,Bad Habit - Radio Version,06 Mar 2018 20:01
Malice,Aggressive Acts,Aggressive Acts - Original Mix,06 Mar 2018 19:55
Yelawolf,Love Story,Best Friend,06 Mar 2018 19:50
Jack Ü,To Ü (feat. AlunaGeorge) [Remixes],To Ü (feat. AlunaGeorge) - George Remix,06 Mar 2018 19:46
Stromae,Racine Carrée,Carmen,06 Mar 2018 19:42
Shawn Mendes,Illuminate (Deluxe),Treat You Better,06 Mar 2018 19:39
Desiigner,Tiimmy Turner (Remix),Tiimmy Turner - Remix,06 Mar 2018 19:36
Tiësto,get down,Get Down,06 Mar 2018 19:32
Charly Lownoise,happy hardcore top 100,Wonderful Days,06 Mar 2018 19:26
Enemy Contact,Our World,Our World,06 Mar 2018 19:23
Stormerz,Keep On Moving,Keep On Moving,06 Mar 2018 19:20
Eminem,Curtain Call,Stan,06 Mar 2018 17:51
Eminem,The Marshall Mathers LP2 (Deluxe),Rap God,06 Mar 2018 17:45
Eminem,Recovery,Space Bound,06 Mar 2018 13:48
Eminem,Relapse,Beautiful,06 Mar 2018 13:41
Eminem,The Eminem Show (Explicit Version),Say Goodbye Hollywood,06 Mar 2018 13:37
Eminem,Curtain Call,Mockingbird,06 Mar 2018 13:32
Eminem,Recovery,Seduction,06 Mar 2018 12:48
Eminem,The Marshall Mathers LP2 (Deluxe),Stronger than I Was,06 Mar 2018 12:43
Eminem,The Marshall Mathers LP2 (Deluxe),Love Game,06 Mar 2018 07:11
Eminem,Curtain Call,Without Me,06 Mar 2018 07:06
Eminem,Revival,Nowhere Fast (feat. Kehlani),06 Mar 2018 07:01
Headhunterz,The Return Of Headhunterz,Our Church,06 Mar 2018 06:27
Headhunterz,The Return Of Headhunterz,Path Of The Hunter,06 Mar 2018 06:21
Headhunterz,The Return Of Headhunterz,Still Standin',06 Mar 2018 06:17
Headhunterz,The Return Of Headhunterz,The Truth (Interlude),06 Mar 2018 06:16
Headhunterz,The Return Of Headhunterz,Destiny (Cinematic Edit),06 Mar 2018 06:13
Headhunterz,The Return Of Headhunterz,intro,06 Mar 2018 06:12
Headhunterz,The Return Of Headhunterz,Takin' It Back,06 Mar 2018 06:09
Headhunterz,The Return Of Headhunterz,Rescue Me,06 Mar 2018 06:05
Headhunterz,The Return Of Headhunterz,Eye Of The Storm (Interlude),06 Mar 2018 06:04
Headhunterz,The Return Of Headhunterz,No One Can Stop Us Now,06 Mar 2018 06:00
Bass Chaserz,Oh Yeah Boom,Oh Yeah Boom,06 Mar 2018 05:56
Subsonic,M.F. Psycho,M.F. Psycho - Edit,06 Mar 2018 05:53
Wildstylez,10 Years Noisecontrollers,Tonight,06 Mar 2018 05:50
Radical Redemption,Brutal 6.0,Brutal 6.0 - Radio Edit,06 Mar 2018 05:46
Atmozfears,Derailed Traxx Grey vs Concept Art,Reawakening - Radio Edit,06 Mar 2018 05:43
Luminite,Behind Enemy Lines,Extraterrestrial Science,06 Mar 2018 05:39
Phuture Noize,Pursuit of Thunder,Walls Crashin' Down,06 Mar 2018 05:36
The Prophet,Tyrone,Tyrone,06 Mar 2018 05:32
Project One,EP I,Luminosity,06 Mar 2018 05:29
Requiem,Take The Hit,Take The Hit - Original Edit,06 Mar 2018 05:27
Donkey Rollers,15 Years of Hardstyle,What We Are,06 Mar 2018 05:25
Noisecontrollers,Hardstyle The Ultimate Collection Best Of 2017,The Spirit of Hardstyle - Radio Edit,06 Mar 2018 05:20
Clockartz,In The Army,In The Army,06 Mar 2018 05:17
Headhunterz,Hardstyle Top 100 - Best Of 2017,Destiny - Edit,06 Mar 2018 05:14
Ran-D,Firestarter,Firestarter - Radio Edit,06 Mar 2018 05:09
B-Freqz,Medium Rare,In The Club,06 Mar 2018 05:05
KELTEK,Hardstyle Top 100 - 2017,Down To Earth - Radio Edit,06 Mar 2018 05:01
Bass Modulators,Imagine,Imagine,06 Mar 2018 04:57
Da Tweekaz,How Far I'll Go,How Far I'll Go,06 Mar 2018 04:52
Adrenalize,Wherever The Light Ends,Wherever The Light Ends,06 Mar 2018 04:49
Sound Rush,Hardstyle The Annual 2017,Unshakable - Original Mix,06 Mar 2018 04:45
Psyko Punkz,Hardstyle Top 100 - Best Of 2017,Play The Drum - Radio Edit,06 Mar 2018 04:41
Gunz For Hire,Executioner Style,Executioner Style - Radio Edit,06 Mar 2018 04:38
Korsakoff,Unconquered (2017 Edit),Unconquered - 2017 Edit,06 Mar 2018 04:34
Cyber,Union,Union - Radio Version,06 Mar 2018 04:32
Devin Wild,Meltdown,Meltdown,06 Mar 2018 04:28
Coone,Less Is More,Faye,06 Mar 2018 04:25
Phuture Noize,Pursuit of Thunder,The Grind,06 Mar 2018 04:22
Phildel,Qi,QI,06 Mar 2018 00:00
Jean Permentier,French Quarters In Rain,French Quarters In Rain,05 Mar 2018 23:56
Hermann,Leaves (Remastered),Leaves,05 Mar 2018 23:54
Yann Tiersen,Amelie From Montmartre,Comptine d'un autre été L'Après-midi,05 Mar 2018 23:52
daigo hanada,Ichiru,Butterfly,05 Mar 2018 23:50
Samuel Lindon,La tour,La Tour,05 Mar 2018 23:48
Chad Lawson,The Piano,Nocturne in a Minor,05 Mar 2018 23:42
Otto Wahl,Moods Of The Valley,Moods of the Valley,05 Mar 2018 23:38
Gavin Luke,Drifting Among Strangers,Delicate Transitions,05 Mar 2018 23:36
Eminem,Curtain Call,Cleanin' Out My Closet,05 Mar 2018 23:04
Eminem,The Marshall Mathers LP2 (Deluxe),Rhyme or Reason,05 Mar 2018 22:53
Deadly Guns,The Gunshow,Power Of Truth,05 Mar 2018 22:47
Phuture Noize,Pursuit of Thunder,Chaos & Order,05 Mar 2018 21:28
Phuture Noize,Pursuit of Thunder,Walls Crashin' Down,05 Mar 2018 21:25
